name,actor_id,count
Anne Tirard,189377.0,1
Anne-Marie Baumann,1159975.0,1
Anne-Marie Hanschke,1452450.0,1
Anne-Marie Mullane,2232176.0,1
Anne-Marja Blind,110106.0,1
Anneka Di Lorenzo,99845.0,1
Anneke von der Lippe,67004.0,1
Annelie Harryson,2757005.0,1
Annelise Hesme,51102.0,1
Annette Badland,30320.0,1
Annette Crosbie,55688.0,1
Annette Yeo,1278611.0,1
Annibale Ninchi,5965.0,1
Annie Bearskin,2866604.0,1
Annie Costner,1080276.0,1
Annie Girardot,6014.0,1
Annie Lennox,74042.0,1
Annie Shizuka Inoh,226557.0,1
Annie Trevilly,1604914.0,1
Annika Nyhammar,2109629.0,1
Anouk Aimée,5682.0,2
Anselm Bresgott,1398498.0,1
Antal Konrád,56303.0,1
Antanas Šurna,1153516.0,1
Anthony Andrews,26659.0,1
Anthony Brandon Wong,930817.0,1
Anthony Brophy,120006.0,1
Anthony Bushell,96758.0,2
Anthony Calf,192846.0,1
Anthony Dawes,1399684.0,1
Anthony De Longis,52903.0,1
Anthony De Marco,144162.0,1
Anthony Dougall,1651422.0,1
Anthony Douse,186191.0,1
Anthony Eustrel,143579.0,3
Anthony Falcon,2017451.0,1
Anthony Harrison,106979.0,1
Anthony Harvey,12009.0,1
Anthony Hayes,75711.0,1
Anthony Herrick,1906673.0,1
Anthony Higgins,660.0,3
Anthony Holles,95028.0,1
Anthony Hopkins,4173.0,6
Anthony J. Sharpe,2272447.0,1
Anthony Jochim,94205.0,1
Anthony Kemp,125378.0,1
Anthony L. Fernandez,1569152.0,1
Anthony Marsh,1469280.0,1
Anthony May,115622.0,1
Anthony Nicholls,25643.0,2
Anthony Pedley,26672.0,2
Anthony Quayle,14371.0,5
Anthony Quinn,5401.0,3
Anthony Rotsa,1511464.0,1
Anthony Sharp,44700.0,1
Anthony Starlight,2498737.0,1
Anthony Steel,33547.0,1
Anthony Stewart Head,34257.0,1
Anthony Sydes,117724.0,1
Anthony Warde,33777.0,1
Anthony Wong,66717.0,1
Antimo Reyner,1425181.0,1
Antinus Joensen,1439579.0,1
Antoine Bertrand,90681.0,1
Antoinette Bower,15961.0,1
